股票代码,date,prediction,TS代码,股票名称,地域,所属行业,股票全称,英文全称,拼音缩写,市场类型,交易所代码,上市日期,实控人名称,实控人企业性质
000858,202512,1.4256008218069391,000858.SZ,五粮液,四川,白酒,宜宾五粮液股份有限公司,"Wuliangye Yibin Co.,Ltd.",WLY,主板,SZSE,19980427,四川省宜宾市人民政府国有资产监督管理委员会,地方国有企业
000895,202512,1.4256008218069391,000895.SZ,双汇发展,河南,食品,河南双汇投资发展股份有限公司,"Henan Shuanghui Investment & Development Co.,Ltd.",SHFZ,主板,SZSE,19981210,兴泰集团有限公司,外资
600015,202512,1.4256008218069391,600015.SH,华夏银行,北京,银行,华夏银行股份有限公司,"Hua Xia Bank Co.,Limited",HXYH,主板,SSE,20030912,无实际控制人,其他
600007,202512,1.4256008218069391,600007.SH,中国国贸,北京,园区开发,中国国际贸易中心股份有限公司,"China World Trade Center Co., Ltd.",ZGGM,主板,SSE,19990312,香格里拉(亚洲)有限公司,外资
600028,202512,1.4256008218069391,600028.SH,中国石化,北京,石油加工,中国石油化工股份有限公司,China Petroleum & Chemical Corporation,ZGSH,主板,SSE,20010808,国务院国有资产监督管理委员会,中央企业
600674,202512,1.4256008218069391,600674.SH,川投能源,四川,水力发电,四川川投能源股份有限公司,"Sichuan Chuantou Energy Co.,Ltd.",CTNY,主板,SSE,19930924,四川省政府国有资产监督管理委员会,地方国有企业
601628,202512,1.4256008218069391,601628.SH,中国人寿,北京,保险,中国人寿保险股份有限公司,China Life Insurance Company Limited,ZGRS,主板,SSE,20070109,中华人民共和国财政部,中央企业
600578,202512,1.4256008218069391,600578.SH,京能电力,北京,火力发电,北京京能电力股份有限公司,"Beijing Jingneng Power Co.,Ltd.",JNDL,主板,SSE,20020510,北京市人民政府国有资产监督管理委员会,地方国有企业
600660,202512,1.4256008218069391,600660.SH,福耀玻璃,福建,汽车配件,福耀玻璃工业集团股份有限公司,"Fuyao Glass Industry Group Co.,Ltd.",FYBL,主板,SSE,19930610,曹德旺,外资
600809,202512,1.4256008218069391,600809.SH,山西汾酒,山西,白酒,山西杏花村汾酒厂股份有限公司,"Shanxi Xinghuacun Fen Wine Factory Co.,Ltd.",SXFJ,主板,SSE,19940106,山西省人民政府国有资产监督管理委员会,地方国有企业
002024,202512,1.4256008218069391,002024.SZ,ST易购,江苏,电器连锁,苏宁易购集团股份有限公司,"Suning.com Co.,LTD.",STYG,主板,SZSE,20040721,无实际控制人,其他
600019,202512,1.4256008218069391,600019.SH,宝钢股份,上海,普钢,宝山钢铁股份有限公司,"Baoshan Iron & Steel Co.,Ltd.",BGGF,主板,SSE,20001212,国务院国有资产监督管理委员会,中央企业
600299,202512,1.4256008218069391,600299.SH,安迪苏,北京,饲料,蓝星安迪苏股份有限公司,Bluestar Adisseo Company,ADS,主板,SSE,20000420,国务院国有资产监督管理委员会,中央企业
600104,202512,1.4256008218069391,600104.SH,上汽集团,上海,汽车整车,上海汽车集团股份有限公司,SAIC Motor Corporation Limited,SQJT,主板,SSE,19971125,上海市国有资产监督管理委员会,地方国有企业
600036,202512,1.4256008218069391,600036.SH,招商银行,深圳,银行,招商银行股份有限公司,"China Merchants Bank Co., Ltd.",ZSYH,主板,SSE,20020409,无实际控制人,其他
002142,202512,1.4256008218069391,002142.SZ,宁波银行,浙江,银行,宁波银行股份有限公司,"Bank Of Ningbo Co.,Ltd.",NBYH,主板,SZSE,20070719,无实际控制人,其他
601799,202512,1.4256008218069391,601799.SH,星宇股份,江苏,汽车配件,常州星宇车灯股份有限公司,"Changzhou Xingyu Automotive Lighting Systems Co., Ltd",XYGF,主板,SSE,20110201,周晓萍,民营企业
