ts_code,name,market,publisher,category,base_date,base_point,list_date,symbol_num,market_id
000125.SH,上证180稳定,SSE,中证指数有限公司,策略指数,20020628,3299.06,20130208,000125,1
000126.SH,消费50,SSE,中证指数有限公司,主题指数,20041231,1000,20111209,000126,1
000128.SH,380基本,SSE,中证指数有限公司,策略指数,20031231,1000,20120109,000128,1
000129.SH,180波动,SSE,中证指数有限公司,策略指数,20020628,3299.06,20120109,000129,1
000130.SH,380波动,SSE,中证指数有限公司,策略指数,20031231,1000,20120109,000130,1
000131.SH,上证高新,SSE,中证指数有限公司,主题指数,20110630,1000,20120210,000131,1
000132.SH,上证100,SSE,中证指数有限公司,规模指数,20031231,1000,20120420,000132,1
000133.SH,上证150,SSE,中证指数有限公司,规模指数,20031231,1000,20120420,000133,1
000134.SH,上证银行,SSE,中证指数有限公司,主题指数,20071231,1000,20120529,000134,1
000135.SH,上证180高贝塔,SSE,中证指数有限公司,策略指数,20020628,3299.06,20120806,000135,1
000136.SH,上证180低贝塔,SSE,中证指数有限公司,策略指数,20020628,3299.06,20120806,000136,1
000137.SH,上证380高贝塔,SSE,中证指数有限公司,策略指数,20031231,1000,20120806,000137,1
000138.SH,上证380低贝塔,SSE,中证指数有限公司,策略指数,20031231,1000,20120806,000138,1
000141.SH,上证380动态,SSE,中证指数有限公司,策略指数,20031231,1000,20130208,000141,1
000142.SH,上证380稳定,SSE,中证指数有限公司,策略指数,20031231,1000,20130208,000142,1
000145.SH,优势资源,SSE,中证指数有限公司,主题指数,20031231,1000,20120529,000145,1
000146.SH,优势制造,SSE,中证指数有限公司,主题指数,20031231,1000,20120529,000146,1
000147.SH,优势消费,SSE,中证指数有限公司,主题指数,20031231,1000,20120529,000147,1
000148.SH,消费领先,SSE,中证指数有限公司,主题指数,20041231,1000,20120529,000148,1
000149.SH,上证180红利,SSE,中证指数有限公司,策略指数,20041231,1000,20120720,000149,1
000150.SH,上证380红利,SSE,中证指数有限公司,策略指数,20041231,1000,20120720,000150,1
000151.SH,上证国企红利,SSE,中证指数有限公司,策略指数,20090630,1000,20120720,000151,1
000152.SH,上证央企红利,SSE,中证指数有限公司,策略指数,20081231,1000,20120720,000152,1
000153.SH,上证民企红利,SSE,中证指数有限公司,策略指数,20090630,1000,20120720,000153,1
000155.SH,上证市值百强,SSE,中证指数有限公司,规模指数,20031231,1000,20120720,000155,1
000158.SH,上证环保,SSE,中证指数有限公司,主题指数,20111230,1000,20120925,000158,1
000159.SH,沪股通,SSE,中证指数有限公司,主题指数,20031231,1000,20141117,000159,1
000160.SH,沪新丝路,SSE,中证指数有限公司,主题指数,20121231,1000,20150624,000160,1
000161.SH,沪中国造,SSE,中证指数有限公司,主题指数,20120629,1000,20151029,000161,1
000162.SH,沪互联+,SSE,中证指数有限公司,主题指数,20120629,1000,20151029,000162,1
000170.SH,50AH优选,SSE,中证指数有限公司,策略指数,20041231,1000,20151210,000170,1
000300.SH,沪深300,SSE,中证指数有限公司,规模指数,20041231,1000,20050408,000300,1
000510.SH,中证A500,SSE,中证指数有限公司,规模指数,20041231,1000,20240923,000510,1
000682.SH,科创信息,SSE,中证指数有限公司,主题指数,20191231,1000,20210816,000682,1
000683.SH,科创生物,SSE,中证指数有限公司,主题指数,20191231,1000,20220509,000683,1
000683CNY01.SH,科创生物全收益,SSE,中证指数有限公司,主题指数,20191231,1000,20220509,000683CNY01,1
